"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"003","54836","ECPCE 8293 (2, 3)","Internship School Counseling","TH","7:15 PM - 9:45 PM","Bausone, Antonio","KY 417","0","10","Hybrid Sync",
"004","54840","ECPCE 8294 (2, 4)","Intrnshp in School Counseling","TH","7:15 PM - 9:45 PM","Singh, Mahendra","KY 419","0","10","Hybrid Sync",
"003","54835","ECPCE 8294 (2, 4)","Intrnshp in School Counseling","TH","7:15 PM - 9:45 PM","Bausone, Antonio","KY 417","0","10","Hybrid Sync",
"001","28210","ECPEL 880 (3, 3)","Leadershp Thry&amp;Pract","T","4:35 PM - 7:05 PM","Genao, Soribel","RA 209","0","15","Hybrid Sync",
"001","28249","ECPEL 881 (3, 3)","Curriculum and Supervision.","T","7:15 PM - 9:45 PM","Wamba, Nathalis","KY 283","0","15","Hybrid Sync",
"001","28232","ECPEL 888 (3, 3)","Critical Issues and Guidelines","TH","7:15 PM - 9:45 PM","Wamba, Nathalis","KY 325","0","15","Hybrid Sync",
"001","27636","ECPEL 891 (3, 3)","Leadership Diverse Populations","TH","4:35 PM - 7:05 PM","Genao, Soribel","RA 210","0","15","Hybrid Sync",
"001","27670","ECPSE 350 (3, 3)","Foundations Of Special Ed","M","4:35 PM - 7:05 PM","Gruber, Deborah","OL 01","22","25","Online Sync",
"004","27669","ECPSE 350 (3, 3)","Foundations Of Special Ed","W","4:35 PM - 7:05 PM","Michaels, Craig","RA 102","25","25","Hybrid Sync",
"006","28903","ECPSE 350 (3, 3)","Foundations Of Special Ed","TH","7:15 PM - 9:45 PM","Genao, Soribel","OL 01","25","25","Online Sync",
"005","27671","ECPSE 350 (3, 3)","Foundations Of Special Ed","W","7:15 PM - 9:45 PM","Ferrara, Denise","OL 01","25","25","Online Sync",
"010","54335","ECPSE 350 (3, 3)","Foundations Of Special Ed","TH","7:15 PM - 9:45 PM",", ","OL 01","22","25","Online Sync",
"009","54334","ECPSE 350 (3, 3)","Foundations Of Special Ed","TH","4:35 PM - 7:05 PM",", ","OL 01","24","25","Online Sync",
"008","54333","ECPSE 350 (3, 3)","Foundations Of Special Ed","TH","4:35 PM - 7:05 PM",", ","OL 01","24","25","Online Sync",
"007","54332","ECPSE 350 (3, 3)","Foundations Of Special Ed","TH","4:35 PM - 7:05 PM",", ","OL 01","25","25","Online Sync",
"002","27674","ECPSE 350 (3, 3)","Foundations Of Special Ed","M","7:15 PM - 9:45 PM","Gruber, Deborah","OL 01","22","25","Online Sync",
"003","27672","ECPSE 350 (3, 3)","Foundations Of Special Ed","T","4:35 PM - 7:05 PM",", ","RA 208","25","25","Hybrid Sync",
"003","27665","ECPSE 550 (3, 3)","Foundations Of Special Ed","TH","4:35 PM - 7:05 PM",", ","OL 01","8","25","Online Sync",
"001","27666","ECPSE 550 (3, 3)","Foundations Of Special Ed","M","4:35 PM - 7:05 PM",", ","OL 01","17","25","Online Sync",
"002","27668","ECPSE 550 (3, 3)","Foundations Of Special Ed","T","4:35 PM - 7:05 PM",", ","OL 01","12","25","Online Sync",
"001","28431","ECPSE 701 (3, 3)","Intro Assessment Early Child","W","7:15 PM - 9:45 PM","Geskie, Jennifer","KY 316","0","15","Hybrid Sync",
"003","28201","ECPSE 704 (3, 3)","Critical Disability Studies","T","4:35 PM - 7:05 PM","Michaels, Craig","PH 104","0","20","Hybrid Sync",
"004","29569","ECPSE 704 (3, 3)","Critical Disability Studies","T","4:35 PM - 7:05 PM",", ","OL 01","0","20","Online Sync",
"002","28412","ECPSE 704 (3, 3)","Critical Disability Studies","M","7:15 PM - 9:45 PM","Ferrara, Denise","KY 425","0","20","Hybrid Sync",
"001","28413","ECPSE 704 (3, 3)","Critical Disability Studies","M","4:35 PM - 7:05 PM","Ferrara, Denise","KY 425","4","20","Hybrid Sync",
"004","29568","ECPSE 705 (3, 3)","Intro to Assessment in Sp Ed","T","7:15 PM - 9:45 PM","Kiely, Mary Theresa","OL 01","0","20","Online Sync",
"001","28427","ECPSE 705 (3, 3)","Intro to Assessment in Sp Ed","M","4:35 PM - 7:05 PM","Kiely, Mary Theresa","KY 323","0","20","Hybrid Sync",
"002","28426","ECPSE 705 (3, 3)","Intro to Assessment in Sp Ed","M","7:15 PM - 9:45 PM","Kiely, Mary Theresa","KY 323","0","20","Hybrid Sync",
"003","28199","ECPSE 705 (3, 3)","Intro to Assessment in Sp Ed","T","7:15 PM - 9:45 PM","Michaels, Craig","PH 104","0","20","Hybrid Sync",
"002","28424","ECPSE 722 (3, 3)","Applied Behavior Analysis","W","4:35 PM - 7:05 PM","Gruber, Deborah","KY 323","0","20","Hybrid Sync",
"003","28423","ECPSE 722 (3, 3)","Applied Behavior Analysis","W","7:15 PM - 9:45 PM","Gruber, Deborah","KY 323","0","20","Hybrid Sync",
"001","28393","ECPSE 722 (3, 3)","Applied Behavior Analysis","W","4:35 PM - 7:05 PM",", ","RA 106","1","20","Hybrid Sync",
"001","27334","ECPSE 724 (3, 3)","Behav &amp; Phil Foundations ABA","W","7:15 PM - 9:45 PM","Gibson, Lenwood","KY 318","0","15","Hybrid Sync",
"001","28433","ECPSE 730 (3, 3)","Curric&amp;Instruc Early Childhood","M","7:15 PM - 9:45 PM","Geskie, Jennifer","KY 283","4","15","Hybrid Sync",
"001","27386","ECPSE 733 (3, 3)","Adv Sem ABA: Org Mgmt &amp; Supv","M","7:15 PM - 9:45 PM","Gibson, Lenwood","KY 277","0","15","Hybrid Sync",
"001","28891","ECPSE 742 (3, 3)","Assistive &amp; Instructional Tech","T","4:35 PM - 7:05 PM","Kim, Sun","PH 020","0","15","Hybrid Sync",
"001","28229","ECPSE 746 (3, 3)","Research in Special Education","TH","4:35 PM - 7:05 PM","Kim, Sun","KY 421","4","15","Hybrid Sync",
"001","29031","ECPSE 750 (3, 3)","Workshop in Special Education","&nbsp;"," - ",", ","OL 02","0","10","Online Async",
"001","28260","ECPSE 755 (3, 3)","Single Case Research in ABA","T","7:15 PM - 9:45 PM","Gibson, Lenwood","KY 246","0","15","Hybrid Sync",
"001","28410","ECPSE 804 (3, 3)","App Behave in Multicult Cntxts","W","4:35 PM - 7:05 PM",", ","PH 010","0","15","Hybrid Sync",
"002","28221","ECPSP 764 (3, 3)","Intro to Research in Sch Psych","T","4:35 PM - 7:05 PM","Yomogida, Maiko","PH 031","0","10","Hybrid Sync",
"001","28219","ECPSP 764 (3, 3)","Intro to Research in Sch Psych","T","4:35 PM - 7:05 PM","Chen, Cliff Yung-Chi","PH 034","0","10","Hybrid Sync",
"003","28220","ECPSP 764 (3, 3)","Intro to Research in Sch Psych","T","7:15 PM - 9:45 PM","Yomogida, Maiko","PH 031","0","10","Hybrid Sync",
"002","28226","ECPSP 770 (3, 3)","Behav Assess Interv","TH","4:35 PM - 7:05 PM","Mccarville, Edel","KY 429","0","15","In-Person",
"001","28231","ECPSP 770 (3, 3)","Behav Assess Interv","TH","4:35 PM - 7:05 PM","Depinna, Caryn","KY 417","0","15","In-Person",
"001","28196","ECPSP 771 (3, 3)","Prof Issues-Sch Psy","TH","4:35 PM - 7:05 PM","Chen, Cliff Yung-Chi","PH 104","0","15","In-Person",
