"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"001","27079","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","1:40 PM - 4:30 PM","Ho, Vivian","OL 01","7","20","Online Sync",
"003","29646","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","SU","9:10 AM - 12:00 PM","Qamar, Zohaib","PH 110","17","35","In-Person",
"002","28681","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","12:10 PM - 2:00 PM","Xiao, Jian","PH 110","10","35","In-Person",
"006","28484","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","1:40 PM - 3:30 PM","Sun, Tao","RE 100","8","95","In-Person",
"007","28483","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Sun, Fang","PH 202","23","30","In-Person",
"005","28936","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","10:05 AM - 11:55 AM","Huang, Qianyun (Ivy)","RE 101","23","95","In-Person",
"008","33779","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","10:05 AM - 11:55 AM","Xiao, Jian","PH 302","0","20","In-Person",
"009","28680","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","T, TH","2:15 PM - 4:05 PM",", ","PH 110","0","35","In-Person",
"004","28740","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","1:40 PM - 3:30 PM","Calamari, Joseph","PH 112","35","35","In-Person",
"001","28772","ACCT 101 (4, 3)","Intro Thry &amp; Prac of Acct I","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 116","8","30","Hybrid Sync",
"001","28935","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","M, W","10:05 AM - 11:55 AM","Suh, Jangwon","RE 100","48","95","In-Person",
"002","28915","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct II","T, TH","12:10 PM - 2:00 PM","Sun, Fang","SB B137","74","95","In-Person",
"001","28777","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","10:05 AM - 11:55 AM","Mazzo, Mark","PH 012","35","35","In-Person",
"002","28482","ACCT 201 (4, 4)","Intermediate Accounting l","T, TH","10:05 AM - 11:55 AM","Sun, Tao","PH 012","35","35","In-Person",
"003","33750","ACCT 201 (4, 4)","Intermediate Accounting l","M, W","1:40 PM - 3:30 PM","Sun, Tao","QH 315C","35","35","In-Person",
"002","28514","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","3:10 PM - 4:25 PM","Kumar, Vijay","RA 208","27","35","In-Person",
"001","28742","ACCT 202 (3, 2)","Intermediate Accounting II","M, W","3:10 PM - 4:25 PM","Fitzsimons, Sean","PH 012","10","35","In-Person",
"003","28686","ACCT 202 (3, 2)","Intermediate Accounting II","T, TH","12:15 PM - 1:30 PM","Kumar, Vijay","PH 112","35","35","In-Person",
"005","28687","ACCT 261 (3, 3)","Business Law I","T, TH","9:15 AM - 10:30 AM","Stein, Randy","PH 110","35","35","In-Person",
"002","28688","ACCT 261 (3, 3)","Business Law I","T, TH","3:10 PM - 4:25 PM","Altman, Julie","PH 012","35","35","In-Person",
"001","28187","ACCT 261 (3, 3)","Business Law I","T, TH","5:00 PM - 6:15 PM","Altman, Julie","PH 112","35","35","In-Person",
"004","28398","ACCT 261 (3, 3)","Business Law I","M, W","6:30 PM - 7:45 PM","Kirschner, David","PH 110","11","35","In-Person",
"003","28741","ACCT 261 (3, 3)","Business Law I","M, W","1:40 PM - 2:55 PM","Herczog, Leo","PH 110","35","35","In-Person",
"002","28191","ACCT 305 (3, 2)","Cost Accounting","T, TH","5:00 PM - 6:15 PM","Xiao, Jian","PH 110","28","35","In-Person",
"003","29108","ACCT 305 (3, 2)","Cost Accounting","W","6:30 PM - 9:20 PM","Qureshi, Anique","OL 01","36","35","Online Sync",
"001","28717","ACCT 305 (3, 2)","Cost Accounting","M, W","1:40 PM - 2:55 PM","Mazzo, Mark","RA 202","35","35","In-Person",
"03","29746","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","3:10 PM - 5:00 PM","Stevens, Michael","PH 110","28","35","In-Person",
"02","29106","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","8:00 AM - 9:50 AM","Adelberg, Arthur","OL 01","31","30","Online Sync",
"01","29105","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","12:10 PM - 2:00 PM","Adelberg, Arthur","OL 01","31","30","Online Sync",
"002","28736","ACCT 311 (4, 3)","Advanced Accounting","M, W","1:40 PM - 3:30 PM","Huang, Qianyun (Ivy)","PH 116","41","40","In-Person",
"001","29645","ACCT 311 (4, 3)","Advanced Accounting","SU","1:00 PM - 4:50 PM","Balkaran, Dianand","PH 116","40","40","In-Person",
"002","28677","ACCT 321 (4, 3)","Auditing I","T, TH","8:00 AM - 9:50 AM","Dauber, Nicky","PH 116","37","35","In-Person",
"001","28773","ACCT 321 (4, 3)","Auditing I","M, W","10:05 AM - 11:55 AM","Dauber, Nicky","PH 116","36","35","Hybrid Sync",
"002","28190","ACCT 322 (3, 3)","Auditing II","T, TH","6:30 PM - 7:45 PM","Xiao, Jian","PH 110","19","35","In-Person",
"001","28743","ACCT 322 (3, 3)","Auditing II","M, W","1:40 PM - 2:55 PM","Fitzsimons, Sean","PH 012","35","35","In-Person",
"001","29104","ACCT 341 (3, 3)","Accounting Information Systems","M, W","5:00 PM - 6:15 PM","Qureshi, Anique","OL 01","41","40","Online Sync",
"002","29103","ACCT 341 (3, 3)","Accounting Information Systems","M, W","9:15 AM - 10:30 AM","Solieri, Steven","OL 01","40","40","Online Sync",
"001","29102","ACCT 343 (3, 3)","Microcomputer Applications","M","6:30 PM - 9:20 PM","Qureshi, Anique","OL 01","30","30","Online Sync",
"001","54721","ACCT 350 (3, 3)","Financial Statement Analysis","M, W","3:10 PM - 4:25 PM","Mazzo, Mark","RA 202","1","35","In-Person",
"001","28775","ACCT 362 (3, 3)","Business Law II","M, W","10:45 AM - 12:00 PM","Herczog, Leo","PH 112","23","30","In-Person",
"002","29575","ACCT 362 (3, 3)","Business Law II","SU","9:10 AM - 12:00 PM","Katz, Jeffrey","PH 112","15","30","In-Person",
"001","28612","ACCT 362W (3, 3)","Business Law II","T, TH","9:15 AM - 10:30 AM","Linn, David","PH 253","25","25","In-Person",
"001","28774","ACCT 363 (3, 3)","Business Law III","M, W","9:15 AM - 10:30 AM","Herczog, Leo","PH 112","14","30","In-Person",
"004","51806","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","M, W","4:30 PM - 6:20 PM","Kumar, Vijay","PH 116","35","35","In-Person",
"001","28776","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","M, W","10:05 AM - 11:55 AM","Calamari, Joseph","PH 110","35","35","In-Person",
"002","29101","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","SU","1:00 PM - 4:50 PM","Blumenfrucht, Israel","OL 01","36","35","Online Sync",
"003","29100","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","T, TH","10:05 AM - 11:55 AM","Blumenfrucht, Israel","OL 01","35","35","Online Sync",
"001","29576","ACCT 372 (3, 3)","Gov &amp; Not for Profit Acct&amp;Aud","SU","9:10 AM - 12:00 PM","Balkaran, Dianand","PH 116","41","40","In-Person",
"002","28679","ACCT 372 (3, 3)","Gov &amp; Not for Profit Acct&amp;Aud","T, TH","3:10 PM - 4:25 PM","Xiao, Jian","PH 112","40","40","In-Person",
"002","29099","ACCT 385 (3, 3)","Data Analytics for Accountants","T","6:30 PM - 9:20 PM","Solieri, Steven","OL 01","35","35","Online Sync",
"001","27443","ACCT 385 (3, 3)","Data Analytics for Accountants","M, W","3:10 PM - 4:25 PM","Solieri, Steven","PH 212","30","30","Hybrid Sync",
"001","28189","ACCT 712 (3, 3)","Adv Fin Acct Theory","TH","6:30 PM - 9:20 PM","Uddin, Md","PH 112","1","20","In-Person",
"001","29573","ACCT 723 (3, 3)","Adv Auditing Theory","F","6:30 PM - 9:20 PM","Zarate, Gloria","PH 110","4","20","In-Person",
"001","28379","ACCT 747 (3, 3)","Tax &amp; Accounting Communication","M","6:30 PM - 9:20 PM","Kumar, Vijay","PH 112","5","20","In-Person",
"001","28188","ACCT 748 (3, 3)","Adv Acct Info Systms","T","6:30 PM - 9:20 PM","Zhang, Yu","PH 112","3","20","In-Person",
"001","28378","ACCT 757 (3, 3)","Fed Taxation of Business Ent","W","6:30 PM - 9:20 PM","Balkaran, Dianand","PH 112","8","20","Hybrid Sync",
"001","27406","ACCT 760 (3, 3)","IRS Ethical Tax Prac &amp; Proc","M","6:30 PM - 9:20 PM","Barone, Ernest","PH 116","6","20","Hybrid Sync",
"001","28372","ACCT 761 (3, 3)","Taxation Partnership &amp; S Corp","W","6:30 PM - 9:20 PM","Mazzo, Mark","PH 116","4","20","Hybrid Sync",
"001","27405","ACCT 762 (3, 3)","Deferred Comp &amp; Employee Benef","TH","6:30 PM - 9:20 PM","Kumar, Vijay","PH 116","11","20","Hybrid Sync",
"001","27404","ACCT 764 (3, 3)","Reorg, Liquidations &amp; Consolid","T","6:30 PM - 9:20 PM","Barone, Ernest","PH 116","13","20","Hybrid Sync",
"001","27403","ACCT 765 (3, 3)","Capstone","F","6:30 PM - 9:20 PM","Balkaran, Dianand","PH 112","9","20","Hybrid Sync",
"001","53594","ACCT 785 (3, 3)","Data Analytics for Accountants","M","6:30 PM - 9:20 PM","Rosano, Eric","OL 01","5","20","Online Sync",
"001","28355","ACCT 7913 (3, 3)","Special Problems in Accounting","W","6:30 PM - 9:20 PM","Solieri, Steven","PH 212","0","20","Hybrid Sync",
"001","29697","AFST 100 (3, 3)","Intro to Africana Studies","T, TH","9:15 AM - 10:30 AM","Babers, Myeshia","KY 323","3","17","In-Person",
"001","29699","AFST 101 (3, 3)","Survey Early African Civ","T, TH","10:45 AM - 12:00 PM","Sylvester, Meagan","KY 426","15","35","In-Person",
"001","29701","AFST 103 (3, 3)","TheMak Blk Race&amp; RaciUS PopCul","T, TH","6:30 PM - 7:45 PM","Babers, Myeshia","OL 01","7","25","Online Sync",
"001","29701","AFST 103 (3, 3)","TheMak Blk Race&amp; RaciUS PopCul","T, TH","6:30 PM - 7:45 PM","Babers, Myeshia","OL 01","7","25","Online Sync",
"001","29703","AFST 104 (3, 3)","Race &amp; Racism Amer Popul Music","M, W","3:10 PM - 4:25 PM",", ","PH 245","1","15","In-Person",
"001","29706","AFST 200 (3, 3)","Intro to the African Diaspora","M, W","6:30 PM - 7:45 PM","Self, Sayida","OL 01","4","17","Online Sync",
"001","29709","AFST 201W (3, 3)","Introduction to Black Cultures","T, TH","12:15 PM - 1:30 PM","Self, Sayida","KY 426","6","17","In-Person",
"002","29711","AFST 201W (3, 3)","Introduction to Black Cultures","T, TH","10:45 AM - 12:00 PM","Lekemo Ngatchi Epse Pawa, Blondie Natacha","OL 01","5","10","Online Sync",
"001","29719","AFST 202 (3, 3)","The Black Urban Experience","TH","6:30 PM - 8:30 PM","Takeall, Alan","PH 115","0","10","In-Person",
"001","29725","AFST 234W (3, 3)","Black Women Writers","M","5:00 PM - 7:50 PM","Thomas, Kierstan","KY 325","3","17","Online Sync",
"001","29728","AFST 277 (3, 3)","AfricaAmerican Hist to Reconst","M, W","1:40 PM - 2:55 PM","Self, Sayida","PH 157","1","15","In-Person",
"001","29731","AFST 278 (3, 3)","Africa-Amer Hist Since Reconst","M, W","5:00 PM - 6:15 PM","Duncan, Natanya","KY 119A","0","15","Hybrid Sync",
"001","29740","AFST 299 (3, 3)","Music of the African Diaspora","M, W","10:45 AM - 12:00 PM",", ","KY 422","1","17","In-Person",
"002","33738","AFST 300 (3, 3)","The Black Intellect Tradition","W","5:00 PM - 7:50 PM","Thomas, Kierstan"," ","0","35","Online Sync",
"001","29736","AFST 300W (3, 3)","The Black Intellect Tradition","T","4:30 PM - 6:30 PM","Duncan, Natanya","PH 253","0","10","Hybrid Sync",
"001","40359","AFST 303W (3, 3)","Global Black Exp Media &amp; Film","M","6:30 PM - 9:20 PM","Tsika, Noah","KY 315","0","25","In-Person",
"005","27217","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","12:15 PM - 1:30 PM","Leynse, Wendy","PH 114","23","40","In-Person",
"004","27224","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","12:15 PM - 1:30 PM","Choi, Jimee","KY 250","7","50","In-Person",
"001","27225","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","10:45 AM - 12:00 PM","Collins, John","KY 150","17","110","In-Person",
"006","27218","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","3:10 PM - 4:25 PM","Leynse, Wendy","PH 114","19","40","In-Person",
"003","27222","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","10:45 AM - 12:00 PM","Choi, Jimee","KY 250","10","50","In-Person",
"002","27226","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","9:15 AM - 10:30 AM","Limbert, Mandana","KY 150","16","110","In-Person",
"008","27220","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","1:40 PM - 2:55 PM","Cotter-Norwood, Farah","KY 250","9","50","In-Person",
"009","27221","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","5:00 PM - 6:15 PM","Welna, Nicholas","KY 250","11","50","In-Person",
"007","27219","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","9:15 AM - 10:30 AM","Clark, John"," ","7","35","In-Person",
"004","27215","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","12:15 PM - 1:30 PM","Shibata, Chihiro","PH 113","16","50","In-Person",
"003","27214","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","M, W","7:45 AM - 9:00 AM","Lamela Lopez, Raquel","KY 150","19","50","In-Person",
"007","27213","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","F","6:00 PM - 9:00 PM","Pagano, Anthony","PH 114","10","40","In-Person",
"002","27212","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","10:45 AM - 12:00 PM","Wisner, Carly","KY 150","27","110","In-Person",
"006","27211","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","9:15 AM - 10:30 AM","Grant, Madison","PH 114","13","40","In-Person",
"001","27210","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","1:40 PM - 2:55 PM","Plummer, Thomas","KY 150","15","110","In-Person",
"001","27210","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","1:40 PM - 2:55 PM","Gonzalez Alvarez, Eimy","KY 150","15","110","In-Person",
"005","27209","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","3:10 PM - 4:25 PM","Shibata, Chihiro","KY 250","6","50","In-Person",
"010","27207","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","M, W","9:15 AM - 10:30 AM","Lamela Lopez, Raquel","KY 150","17","70","In-Person",
"002","27212","ANTH 102 (3, 3)","Bio &amp; Evo of the Human Species","T, TH","10:45 AM - 12:00 PM","Madimenos, Felicia","KY 150","27","110","In-Person",
"001","27205","ANTH 103 (3, 3)","Introduction to Archaeology","M, W","1:40 PM - 2:55 PM","Pugh, Timothy","KY 150","11","110","In-Person",
"004","27204","ANTH 103 (3, 3)","Introduction to Archaeology","T, TH","10:45 AM - 12:00 PM","Nyamushosho, Robert","KY 059","10","20","In-Person",
"003","27203","ANTH 103 (3, 3)","Introduction to Archaeology","T, TH","9:15 AM - 10:30 AM","Nyamushosho, Robert","KY 059","8","20","In-Person",
"006","27202","ANTH 103 (3, 3)","Introduction to Archaeology","M, W","9:15 AM - 10:30 AM","Feeley, Francis","KY 250","25","50","In-Person",
"002","27201","ANTH 103 (3, 3)","Introduction to Archaeology","T, TH","12:15 PM - 1:30 PM","Victor, Megan","KY 150","45","110","In-Person",
"007","28280","ANTH 103 (3, 3)","Introduction to Archaeology","M, W","5:00 PM - 6:15 PM","Quinonez Dardon, Jackeline","PH 114","4","35","In-Person",
"005","27206","ANTH 103 (3, 3)","Introduction to Archaeology","M, W","7:45 AM - 9:00 AM","Feeley, Francis","KY 250","8","50","In-Person",
"001","27592","ANTH 104 (3, 3)","Language, Culture, and Society","M, W","3:10 PM - 4:25 PM","Makihara, Miki","KY 150","55","110","In-Person",
"001","27592","ANTH 104 (3, 3)","Language, Culture, and Society","M, W","3:10 PM - 4:25 PM","Sudweeks, Devin","KY 150","55","110","In-Person",
"004","27389","ANTH 104 (3, 3)","Language, Culture, and Society","M, W","10:45 AM - 12:00 PM","Ariza Garcia, Andrea","PH 114","27","40","In-Person",
"003","27391","ANTH 104 (3, 3)","Language, Culture, and Society","M, W","9:15 AM - 10:30 AM","Ariza Garcia, Andrea","PH 114","24","40","In-Person",
"002","27587","ANTH 104 (3, 3)","Language, Culture, and Society","T, TH","3:10 PM - 4:25 PM","Rodriguez Aponte, Juan","KY 150","13","110","In-Person",
"005","27588","ANTH 104 (3, 3)","Language, Culture, and Society","T, TH","1:40 PM - 2:55 PM","Yanovskaya, Yelizaveta","PH 114","24","40","In-Person",
"002","27233","ANTH 200 (3, 3)","History of Anthropology","M, W","1:40 PM - 2:55 PM","Birth, Kevin","PH 351","10","18","In-Person",
"001","27234","ANTH 200 (3, 3)","History of Anthropology","M, W","10:45 AM - 12:00 PM","Birth, Kevin","PH 351","9","18","In-Person",
"001","27231","ANTH 201 (3, 3)","Essentials Of Cultural Anthro","T, TH","1:40 PM - 2:55 PM","Limbert, Mandana","PH 112","10","30","In-Person",
"001","29648","ANTH 206 (3, 3)","Peoples of South America","M, W","1:40 PM - 2:55 PM","Collins, John","PH 114","15","30","In-Person",
"001","27229","ANTH 225 (3, 3)","Medical Anthropology","T, TH","9:15 AM - 10:30 AM","Halliburton, Murphy","PH 115","16","30","In-Person",
"001","27227","ANTH 238 (3, 3)","Research Design and Method","T, TH","1:40 PM - 2:55 PM","Victor, Megan","KY 059","14","15","In-Person",
"001","27228","ANTH 240 (3, 3)","Essentials of Archaeology","T, TH","3:10 PM - 4:25 PM","Nyamushosho, Robert","KY 059","8","15","In-Person",
"001","27312","ANTH 241 (3, 3)","Archaeology of Mesoamerica","M, W","10:45 AM - 12:00 PM","Pugh, Timothy","KY 059","15","18","In-Person",
"001","27232","ANTH 260 (3, 3)","Essent Biol Anthro","M, W","10:45 AM - 12:00 PM","Lamela Lopez, Raquel","PH 311","10","18","In-Person",
"001","28281","ANTH 262 (3, 3)","The Nonhuman Primates","T, TH","9:15 AM - 10:30 AM","Gorgone, Louis","PH 351","4","18","In-Person",
"001","28281","ANTH 262 (3, 3)","The Nonhuman Primates","T, TH","9:15 AM - 10:30 AM","Swedell, Larissa","PH 351","4","18","In-Person",
"001","29649","ANTH 264 (3, 3)","Faunal Analysis","T, TH","10:45 AM - 12:00 PM","Plummer, Thomas","PH 311","13","18","In-Person",
"001","29649","ANTH 264 (3, 3)","Faunal Analysis","T, TH","10:45 AM - 12:00 PM","Shinn, Ryan","PH 311","13","18","In-Person",
"001","27300","ANTH 280 (3, 3)","Language and Social Identity","T, TH","12:15 PM - 1:30 PM","Rodriguez Aponte, Juan","PH 302","18","18","In-Person",
"001","27297","ANTH 330 (3, 3)","Sem In Cult Anthro","T, TH","3:10 PM - 4:25 PM","Halliburton, Murphy","PH 302","8","18","In-Person",
"001","29647","ANTH 361 (3, 3)","Human Variation","T, TH","1:40 PM - 2:55 PM","Madimenos, Felicia","PH 311","6","18","In-Person",
"001","27292","ANTH 380 (3, 3)","Seminar In Linguistic Anthro","M, W","10:45 AM - 12:00 PM","Makihara, Miki","PH 304","4","18","In-Person",
"001","54486","ANTH 3973 (3, 3)","Directed Research in Anthro","T, TH","10:45 AM - 12:00 PM","Halliburton, Murphy"," ","1","1","In-Person",
"01","27274","ARAB 101 (4, 4)","Elementary Arabic I","T, TH","10:05 AM - 11:55 AM","Abdelghany, Hala","QH 265H","7","20","In-Person",
"02","27276","ARAB 101 (4, 4)","Elementary Arabic I","M, W","10:05 AM - 11:55 AM","Masood, Hajara","OL 01","20","20","Online Sync",
"01","27273","ARAB 203 (3, 3)","Intermediate Arabic I","M, W","5:00 PM - 6:15 PM","Beck, Kirsten","QH 265H","1","15","In-Person",
"01","27272","ARAB 305 (3, 3)","Advanced Arabic I","T, TH","5:00 PM - 6:15 PM","Abdelghany, Hala","OL 01","2","15","Online Sync",
"002","29087","ARTH 001 (3, 3)","Introduction to Art","W","9:10 AM - 12:00 PM","Waldron, Lawrence","KP 403","18","45","In-Person",
"001","29088","ARTH 001 (3, 3)","Introduction to Art","M","9:10 AM - 12:00 PM","Peredo, Roberto","KP 404","45","45","In-Person",
"003","29055","ARTH 101 (3, 3)","History of Western Art I","T","10:00 AM - 12:50 PM","Horton, Heather","KP 403","32","45","In-Person",
"001","29054","ARTH 102 (3, 3)","History of Western Art II","M","1:40 PM - 4:30 PM","Hartel Jr, Herbert","KP 404","21","45","In-Person",
"002","29053","ARTH 102 (3, 3)","History of Western Art II","TH","10:00 AM - 12:50 PM","Horton, Heather","KP 404","36","45","In-Person",
"001","28836","ARTH 111 (3, 3)","Survey of Medieval Art","M","1:40 PM - 4:30 PM",", ","KP 403","17","45","In-Person",
"001","29051","ARTH 114 (3, 3)","Survey of Asian Art","T","9:10 AM - 12:00 PM","Waldron, Lawrence","KP 401","9","40","In-Person",
"001","29036","ARTH 200 (3, 3)","Studies in The History of Art","T","1:40 PM - 4:30 PM","Waldron, Lawrence","KP 401","2","18","In-Person",
"001","29050","ARTH 220 (3, 3)","Renaiss Art &amp; Modernity","T","1:40 PM - 4:30 PM","Horton, Heather","KP 403","24","45","In-Person",
"001","29049","ARTH 254W (3, 3)","Twentieth-Century Art","TH","10:00 AM - 12:50 PM","Powers, Edward","KP 174","10","18","In-Person",
"001","29048","ARTH 256 (3, 3)","Contemporary Art Practices","TH","1:40 PM - 4:30 PM","Powers, Edward","KP 174","3","18","In-Person",
"001","29047","ARTH 258 (3, 3)","History of Photography","T","1:40 PM - 4:30 PM","Bauman, Emily","KP 404","21","45","In-Person",
"001","28894","ARTH 300 (3, 3)","Sr Coll: Art Hist Mthds","W","6:00 PM - 7:40 PM","Nelson, Michael","OL 01","7","7","Hybrid Sync",
"001","29044","ARTH 505 (3, 3)","Variable Topics: Modern Art","TH","6:00 PM - 7:40 PM","Powers, Edward","KP 404","7","10","In-Person",
"001","29045","ARTH 740 (2, 3)","Art History Methods Colloquium","W","6:00 PM - 7:40 PM","Nelson, Michael","OL 01","0","5","Hybrid Sync",
"001","29043","ARTH 7555 (2, 3)","Seminar in Modern Art","TH","6:00 PM - 7:40 PM","Powers, Edward","KP 404","4","10","In-Person",
"001","53781","ARTH 7603 (3, 3)","Special Problems in Renaissanc","&nbsp;"," - ","Horton, Heather"," ","1","1","In-Person",
"001","53782","ARTH 7604 (3, 3)","Special Problems in Baroque Ar","&nbsp;"," - ","Horton, Heather"," ","1","1","In-Person",
"001","29154","ARTS 150 (4, 3)","Fundamentals of Art","M","8:00 AM - 11:50 AM","Esposito, Christopher","KP 284","19","18","In-Person",
"001","28159","ARTS 151 (4, 3)","Drawing I","M","6:00 PM - 9:50 PM","Ahn, Seongmin","OL 01","14","14","Online Sync",
"QI1","52640","ARTS 151 (4, 3)","Drawing I","T","3:00 PM - 7:00 PM","Esposito, Christopher"," ","0","0","In-Person",
"002","28350","ARTS 151 (4, 3)","Drawing I","T","2:00 PM - 5:50 PM",", ","KP 483","12","18","In-Person",
"003","28334","ARTS 151 (4, 3)","Drawing I","W","8:00 AM - 11:50 AM","Powhida, William","KP 483","9","14","In-Person",
"004","28348","ARTS 151 (4, 3)","Drawing I","W","6:00 PM - 9:50 PM","Purse, Elliot","KP 483","3","18","In-Person",
"003","28347","ARTS 161 (4, 3)","Painting I","T","10:00 AM - 1:50 PM","Smith, Krista-Louise","KP 461","8","16","In-Person",
"004","29078","ARTS 161 (4, 3)","Painting I","W","1:40 PM - 5:30 PM","Rodriguez, Adriana","KP 463","13","18","In-Person",
"001","28858","ARTS 161 (4, 3)","Painting I","T","6:00 PM - 9:50 PM","Ahn, Seongmin"," ","13","14","Online Sync",
"002","28158","ARTS 161 (4, 3)","Painting I","T","2:00 PM - 5:50 PM","Smith, Krista-Louise","KP 461","7","16","In-Person",
"002","28346","ARTS 182 (4, 3)","Introduction to Sculpture","M","8:00 AM - 11:50 AM","Lieb, Nathaniel","KP 263","6","12","In-Person",
"003","28345","ARTS 182 (4, 3)","Introduction to Sculpture","M","1:40 PM - 5:30 PM","Lieb, Nathaniel","KP 263","12","12","In-Person",
"004","28344","ARTS 182 (4, 3)","Introduction to Sculpture","TH","10:00 AM - 1:50 PM","Macdougall Iii, Malcolm","KP 263","9","17","In-Person",
"001","29064","ARTS 185 (4, 3)","Contemporary Art","T","10:00 AM - 1:50 PM","Kauper, Kurt","KP 672","18","18","In-Person",
"001","28315","ARTS 186 (4, 3)","Ceramics I","M","8:00 AM - 11:50 AM","Marino-Jones, Mary","KP 181","17","17","In-Person",
"004","28341","ARTS 186 (4, 3)","Ceramics I","TH","2:00 PM - 5:50 PM","Mulford, Anne","KP 181","14","17","In-Person",
"002","28343","ARTS 186 (4, 3)","Ceramics I","W","1:40 PM - 5:30 PM","Ebner, Rosanne","KP 181","17","18","In-Person",
"003","28342","ARTS 186 (4, 3)","Ceramics I","T","2:00 PM - 5:50 PM","Mittal, Puneeta","KP 181","17","17","In-Person",
"001","28340","ARTS 240 (4, 3)","Drawing ll","W","1:40 PM - 5:30 PM","Powhida, William","KP 483","6","8","In-Person",
"001","28339","ARTS 253 (4, 3)","Drawing III","W","1:40 PM - 5:30 PM","Powhida, William","KP 483","6","6","In-Person",
"001","28338","ARTS 254 (4, 3)","Drawing Special Projects","W","1:40 PM - 5:30 PM","Powhida, William","KP 483","1","1","In-Person",
"003","28351","ARTS 254 (4, 3)","Drawing Special Projects","M","6:00 PM - 9:50 PM","Ahn, Seongmin","OL 01","1","4","Online Sync",
"003","29006","ARTS 256 (4, 3)","Painting Special Projects","T","6:00 PM - 9:50 PM","Ahn, Seongmin"," ","2","1","Online Sync",
"002","28330","ARTS 256 (4, 3)","Painting Special Projects","T","2:00 PM - 5:50 PM","Smith, Krista-Louise","KP 461","3","4","In-Person",
"004","28307","ARTS 256 (4, 3)","Painting Special Projects","TH","2:00 PM - 5:50 PM",", ","KP 461","1","1","In-Person",
"001","28327","ARTS 256 (4, 3)","Painting Special Projects","T","10:00 AM - 1:50 PM","Smith, Krista-Louise","KP 461","1","2","In-Person",
"001","28308","ARTS 260 (4, 3)","Painting II","TH","2:00 PM - 5:50 PM",", ","KP 461","14","14","In-Person",
"001","28306","ARTS 264 (4, 3)","Painting III","TH","2:00 PM - 5:50 PM",", ","KP 461","3","4","In-Person",
"001","40364","ARTS 272 (4, 3)","Intaglio","TH","10:00 AM - 1:50 PM","Mackie, Lisa","KP 433","16","17","In-Person",
"004","28971","ARTS 282 (4, 3)","VT: Ceramics II","T","10:00 AM - 1:50 PM","Greco, Matthew"," ","5","6","In-Person",
"003","28300","ARTS 282 (4, 3)","VT: Ceramics II","F","10:00 AM - 1:50 PM","Ebner, Rosanne","KP 181","8","12","In-Person",
"002","28972","ARTS 282 (4, 3)","VT: Ceramics II","TH","10:00 AM - 1:50 PM","Mittal, Puneeta","KP 181","3","12","In-Person",
"001","28301","ARTS 282 (4, 3)","VT: Ceramics II","T","10:00 AM - 1:50 PM","Marino-Jones, Mary","KP 181","4","12","In-Person",
